# Running with 1 cores on primary, 8 on backup
threads, throughput, avglatency
100, 22131.95, 4501.0
200, 10236.2, 19505.0
# Highest throughput 22131.95 at 100 threads
# Running with 2 cores on primary, 8 on backup
threads, throughput, avglatency
100, 32452.5, 3066.0
200, 39139.35, 5095.0
400, 45510.45, 8770.0
600, 48466.9, 12363.0
800, 47856.1, 16701.0
1000, 47233.65, 21157.0
# Running with 1 cores on primary, 8 on backup
threads, throughput, avglatency
100, 10091.8, 9886.0
200, 25770.75, 7747.0
400, 27109.1, 14735.0
600, 34054.9, 17615.0
800, 34876.15, 22936.0
1000, 34662.7, 28838.0
1200, 31554.8, 38023.0
# Highest throughput 34876.15 at 800 threads
# Running with 2 cores on primary, 8 on backup
threads, throughput, avglatency
100, 32200.75, 3090.0
200, 39001.25, 5113.0
400, 45390.5, 8792.0
600, 47600.65, 12587.0
800, 48203.1, 16585.0
1000, 47693.55, 20965.0
1200, 46783.8, 25633.0
1400, 47972.6, 29152.0
1600, 44785.1, 35670.0
1800, 46661.7, 38553.0
2000, 46465.2, 43053.0
# Highest throughput 48203.1 at 800 threads
# Running with 3 cores on primary, 8 on backup
threads, throughput, avglatency
100, 40344.0, 2465.0
200, 51227.15, 3891.0
400, 61873.2, 6450.0
600, 67401.95, 8883.0
800, 67522.8, 11835.0
1000, 67427.7, 14813.0
1200, 66874.45, 17922.0
1400, 68908.75, 20305.0
1600, 65514.15, 24401.0
1800, 64015.05, 28108.0
2000, 64177.2, 31130.0
# Highest throughput 68908.75 at 1400 threads
# Running with 4 cores on primary, 8 on backup
threads, throughput, avglatency
100, 41800.25, 2379.0
200, 61054.3, 3263.0
400, 72561.55, 5500.0
600, 77593.2, 7720.0
800, 81518.85, 9796.0
1000, 82825.55, 12062.0
1200, 79437.05, 15083.0
1400, 79250.7, 17647.0
1600, 79955.75, 19994.0
1800, 78549.2, 22880.0
2000, 77123.3, 25916.0
# Highest throughput 82825.55 at 1000 threads
# Running with 5 cores on primary, 8 on backup
threads, throughput, avglatency
100, 42035.4, 2365.0
200, 64816.25, 3074.0
400, 79648.75, 5012.0
600, 82815.75, 7234.0
800, 86558.3, 9231.0
1000, 85640.35, 11658.0
1200, 84001.2, 14263.0
1400, 83515.15, 16744.0
1600, 86762.55, 18421.0
1800, 85093.3, 21131.0
2000, 85357.45, 23413.0
# Highest throughput 86762.55 at 1600 threads
# Running with 6 cores on primary, 8 on backup
threads, throughput, avglatency
100, 40312.4, 2467.0
200, 67261.05, 2961.0
400, 86244.0, 4627.0
600, 90169.1, 6642.0
800, 91045.55, 8773.0
1000, 92350.55, 10809.0
1200, 91106.55, 13155.0
1400, 90758.4, 15404.0
1600, 91400.05, 17479.0
1800, 91348.85, 19677.0
2000, 91540.25, 21825.0
# Highest throughput 92350.55 at 1000 threads
# Running with 7 cores on primary, 8 on backup
threads, throughput, avglatency
100, 40409.9, 2461.0
200, 68377.4, 2913.0
400, 88642.05, 4502.0
600, 92257.2, 6492.0
800, 93308.6, 8562.0
1000, 93895.9, 10634.0
1200, 94146.45, 12725.0
1400, 95334.25, 14661.0
1600, 93809.75, 17034.0
1800, 94041.4, 19115.0
2000, 94047.15, 21246.0
# Highest throughput 95334.25 at 1400 threads
# Running with 8 cores on primary, 8 on backup
threads, throughput, avglatency
100, 40116.35, 2479.0
200, 65800.85, 3028.0
400, 91933.7, 4340.0
600, 97176.3, 6163.0
800, 96869.2, 8246.0
1000, 96636.75, 10333.0
1200, 96640.5, 12396.0
1400, 97835.9, 14292.0
1600, 97375.45, 16407.0
1800, 98317.55, 18287.0
2000, 95479.55, 20921.0
# Highest throughput 98317.55 at 1800 threads
